kanji,level
副,7級
粉,7級
兵,7級
別,7級
変,7級
辺,7級
便,7級
包,7級
法,7級
望,7級
牧,7級
末,7級
満,7級
未,7級
脈,7級
民,7級
無,7級
約,7級
勇,7級
要,7級
養,7級
浴,7級
利,7級
陸,7級
料,7級
良,7級
量,7級
輪,7級
類,7級
令,7級
例,7級
冷,7級
歴,7級
連,7級
労,7級
老,7級
録,7級
圧,6級
易,6級
移,6級
因,6級
営,6級
永,6級
衛,6級
液,6級
益,6級
演,6級
往,6級
応,6級
恩,6級
仮,6級
価,6級
可,6級
河,6級
過,6級
賀,6級
解,6級
快,6級
格,6級
確,6級
額,6級
刊,6級
幹,6級
慣,6級
眼,6級
基,6級
寄,6級
規,6級
技,6級
義,6級
逆,6級
久,6級
旧,6級
居,6級
許,6級
境,6級
興,6級
均,6級
禁,6級
句,6級
群,6級
経,6級
潔,6級
件,6級
券,6級
検,6級
険,6級
減,6級
現,6級
限,6級
個,6級
故,6級
護,6級
効,6級
厚,6級
構,6級
耕,6級
講,6級
鉱,6級
混,6級
査,6級
再,6級
妻,6級
採,6級
災,6級
際,6級
在,6級
罪,6級
財,6級
桜,6級
雑,6級
賛,6級
酸,6級
師,6級
志,6級
支,6級
枝,6級
資,6級
飼,6級
似,6級
示,6級
識,6級
質,6級
舎,6級
謝,6級
授,6級
修,6級
術,6級
述,6級
準,6級
序,6級
承,6級
招,6級
証,6級
常,6級
情,6級
条,6級
状,6級
織,6級
職,6級
制,6級
勢,6級
性,6級
政,6級
精,6級
製,6級
税,6級
績,6級
責,6級
接,6級
設,6級
絶,6級
舌,6級
銭,6級
祖,6級
素,6級
総,6級
像,6級
増,6級
造,6級
則,6級
測,6級
属,6級
損,6級
態,6級
貸,6級
退,6級
団,6級
断,6級
築,6級
張,6級
提,6級
程,6級
敵,6級
適,6級
統,6級
導,6級
銅,6級
徳,6級
独,6級
任,6級
燃,6級
能,6級
破,6級
判,6級
版,6級
犯,6級
比,6級
肥,6級
非,6級
備,6級
俵,6級
評,6級
貧,6級
婦,6級
富,6級
布,6級
武,6級
復,6級
複,6級
仏,6級
編,6級
弁,6級
保,6級
墓,6級
報,6級
豊,6級
暴,6級
貿,6級
防,6級
務,6級
夢,6級
迷,6級
綿,6級
輸,6級
余,6級
預,6級
容,6級
率,6級
略,6級
留,6級
領,6級
異,5級
遺,5級
域,5級
宇,5級
映,5級
延,5級
沿,5級
我,5級
灰,5級
拡,5級
閣,5級
革,5級
割,5級
株,5級
巻,5級
干,5級
看,5級
簡,5級
危,5級
揮,5級
机,5級
貴,5級
疑,5級
吸,5級
供,5級
胸,5級
郷,5級
勤,5級
筋,5級
敬,5級
系,5級
警,5級
劇,5級
激,5級
穴,5級
憲,5級
権,5級
絹,5級
厳,5級
源,5級
呼,5級
己,5級
誤,5級
后,5級
孝,5級
皇,5級
紅,5級
鋼,5級
降,5級
刻,5級
穀,5級
骨,5級
困,5級
砂,5級
座,5級
済,5級
裁,5級
策,5級
冊,5級
蚕,5級
姿,5級
私,5級
至,5級
視,5級
詞,5級
誌,5級
磁,5級
射,5級
捨,5級
尺,5級
若,5級
樹,5級
収,5級
宗,5級
就,5級
衆,5級
従,5級
縦,5級
縮,5級
熟,5級
純,5級
処,5級
署,5級
諸,5級
除,5級
傷,5級
将,5級
障,5級
城,5級
蒸,5級
針,5級
仁,5級
垂,5級
推,5級
寸,5級
盛,5級
聖,5級
誠,5級
宣,5級
専,5級
泉,5級
洗,5級
染,5級
善,5級
創,5級
奏,5級
層,5級
操,5級
窓,5級
装,5級
臓,5級
蔵,5級
存,5級
尊,5級
宅,5級
担,5級
探,5級
誕,5級
暖,5級
段,5級
値,5級
宙,5級
忠,5級
著,5級
庁,5級
潮,5級
頂,5級
賃,5級
痛,5級
展,5級
党,5級
糖,5級
討,5級
届,5級
難,5級
乳,5級
認,5級
納,5級
脳,5級
派,5級
俳,5級
拝,5級
背,5級
肺,5級
班,5級
晩,5級
否,5級
批,5級
秘,5級
腹,5級
奮,5級
並,5級
閉,5級
陛,5級
片,5級
補,5級
暮,5級
宝,5級
訪,5級
亡,5級
忘,5級
棒,5級
枚,5級
幕,5級
密,5級
盟,5級
模,5級
訳,5級
優,5級
郵,5級
幼,5級
欲,5級
翌,5級
乱,5級
卵,5級
覧,5級
裏,5級
律,5級
臨,5級
朗,5級
論,5級
握,4級
扱,4級
依,4級
偉,4級
威,4級
為,4級
維,4級
緯,4級
違,4級
井,4級
壱,4級
稲,4級
芋,4級
陰,4級
隠,4級
影,4級
鋭,4級
越,4級
援,4級
煙,4級
縁,4級
鉛,4級
汚,4級
奥,4級
押,4級
沖,4級
憶,4級
暇,4級
箇,4級
菓,4級
雅,4級
介,4級
壊,4級
戒,4級
皆,4級
獲,4級
較,4級
刈,4級
乾,4級
勧,4級
歓,4級
汗,4級
環,4級
甘,4級
監,4級
鑑,4級
含,4級
奇,4級
幾,4級
祈,4級
輝,4級
鬼,4級
儀,4級
戯,4級
詰,4級
却,4級
脚,4級
丘,4級
及,4級
朽,4級
巨,4級
拠,4級
距,4級
凶,4級
叫,4級
恐,4級
況,4級
狂,4級
狭,4級
響,4級
驚,4級
仰,4級
駆,4級
屈,4級
掘,4級
繰,4級
傾,4級
恵,4級
継,4級
迎,4級
撃,4級
兼,4級
剣,4級
圏,4級
堅,4級
肩,4級
軒,4級
遣,4級
玄,4級
枯,4級
誇,4級
鼓,4級
互,4級
御,4級
恒,4級
抗,4級
攻,4級
更,4級
稿,4級
荒,4級
項,4級
香,4級
豪,4級
腰,4級
込,4級
婚,4級
鎖,4級
彩,4級
歳,4級
載,4級
剤,4級
咲,4級
惨,4級
伺,4級
刺,4級
旨,4級
紫,4級
脂,4級
雌,4級
執,4級
芝,4級
斜,4級
煮,4級
釈,4級
寂,4級
朱,4級
狩,4級
趣,4級
需,4級
秀,4級
舟,4級
襲,4級
柔,4級
獣,4級
瞬,4級
旬,4級
盾,4級
巡,4級
召,4級
床,4級
沼,4級
称,4級
紹,4級
詳,4級
丈,4級
畳,4級
飾,4級
殖,4級
触,4級
侵,4級
寝,4級
慎,4級
振,4級
浸,4級
薪,4級
震,4級
尋,4級
尽,4級
陣,4級
吹,4級
澄,4級
是,4級
姓,4級
征,4級
跡,4級
占,4級
扇,4級
鮮,4級
訴,4級
僧,4級
燥,4級
騒,4級
贈,4級
即,4級
俗,4級
耐,4級
替,4級
拓,4級
沢,4級
濁,4級
脱,4級
丹,4級
嘆,4級
淡,4級
端,4級
弾,4級
恥,4級
致,4級
遅,4級
蓄,4級
徴,4級
跳,4級
沈,4級
珍,4級
堤,4級
抵,4級
摘,4級
滴,4級
添,4級
殿,4級
吐,4級
渡,4級
途,4級
奴,4級
怒,4級
倒,4級
唐,4級
塔,4級
桃,4級
盗,4級
到,4級
踏,4級
逃,4級
透,4級
闘,4級
胴,4級
峠,4級
突,4級
曇,4級
鈍,4級
弐,4級
悩,4級
濃,4級
杯,4級
輩,4級
拍,4級
泊,4級
薄,4級
迫,4級
爆,4級
髪,4級
罰,4級
抜,4級
搬,4級
繁,4級
般,4級
販,4級
範,4級
盤,4級
彼,4級
疲,4級
被,4級
避,4級
尾,4級
微,4級
匹,4級
描,4級
浜,4級
敏,4級
怖,4級
敷,4級
普,4級
浮,4級
腐,4級
膚,4級
賦,4級
舞,4級
幅,4級
払,4級
噴,4級
柄,4級
壁,4級
舗,4級
捕,4級
峰,4級
抱,4級
砲,4級
傍,4級
坊,4級
帽,4級
忙,4級
冒,4級
肪,4級
凡,4級
盆,4級
慢,4級
漫,4級
妙,4級
眠,4級
矛,4級
霧,4級
娘,4級
茂,4級
猛,4級
網,4級
黙,4級
紋,4級
躍,4級
雄,4級
与,4級
誉,4級
溶,4級
謡,4級
踊,4級
翼,4級
頼,4級
雷,4級
絡,4級
欄,4級
離,4級
粒,4級
慮,4級
療,4級
隣,4級
涙,4級
隷,4級
麗,4級
齢,4級
暦,4級
劣,4級
烈,4級
恋,4級
露,4級
郎,4級
惑,4級
腕,4級
哀,3級
慰,3級
詠,3級
悦,3級
閲,3級
宴,3級
炎,3級
欧,3級
殴,3級
乙,3級
卸,3級
穏,3級
佳,3級
嫁,3級
架,3級
華,3級
餓,3級
塊,3級
怪,3級
悔,3級
慨,3級
概,3級
該,3級
穫,3級
郭,3級
隔,3級
岳,3級
掛,3級
滑,3級
冠,3級
勘,3級
喚,3級
換,3級
敢,3級
緩,3級
肝,3級
貫,3級
企,3級
岐,3級
忌,3級
既,3級
棋,3級
棄,3級
軌,3級
騎,3級
欺,3級
犠,3級
菊,3級
吉,3級
喫,3級
虐,3級
虚,3級
峡,3級
脅,3級
凝,3級
斤,3級
緊,3級
愚,3級
偶,3級
遇,3級
桑,3級
刑,3級
啓,3級
契,3級
憩,3級
掲,3級
携,3級
鶏,3級
鯨,3級
倹,3級
賢,3級
幻,3級
孤,3級
弧,3級
雇,3級
顧,3級
娯,3級
悟,3級
坑,3級
孔,3級
巧,3級
慌,3級
拘,3級
控,3級
甲,3級
硬,3級
絞,3級
綱,3級
郊,3級
酵,3級
克,3級
獄,3級
墾,3級
恨,3級
紺,3級
魂,3級
債,3級
催,3級
削,3級
搾,3級
錯,3級
撮,3級
擦,3級
暫,3級
施,3級
祉,3級
諮,3級
侍,3級
慈,3級
軸,3級
湿,3級
疾,3級
赦,3級
邪,3級
殊,3級
寿,3級
潤,3級
遵,3級
徐,3級
匠,3級
掌,3級
昇,3級
晶,3級
焦,3級
衝,3級
鐘,3級
冗,3級
嬢,3級
譲,3級
錠,3級
嘱,3級
辱,3級
伸,3級
審,3級
辛,3級
炊,3級
粋,3級
衰,3級
遂,3級
酔,3級
随,3級
髄,3級
瀬,3級
牲,3級
請,3級
隻,3級
惜,3級
斥,3級
籍,3級
摂,3級
潜,3級
繕,3級
措,3級
礎,3級
粗,3級
阻,3級
双,3級
掃,3級
葬,3級
遭,3級
憎,3級
促,3級
賊,3級
怠,3級
滞,3級
胎,3級
袋,3級
逮,3級
滝,3級
卓,3級
択,3級
託,3級
諾,3級
奪,3級
胆,3級
鍛,3級
壇,3級
稚,3級
畜,3級
窒,3級
抽,3級
鋳,3級
駐,3級
彫,3級
聴,3級
超,3級
鎮,3級
陳,3級
墜,3級
帝,3級
締,3級
訂,3級
哲,3級
塗,3級
斗,3級
凍,3級
痘,3級
陶,3級
匿,3級
篤,3級
豚,3級
如,3級
尿,3級
粘,3級
婆,3級
排,3級
陪,3級
縛,3級
伐,3級
伴,3級
帆,3級
畔,3級
藩,3級
蛮,3級
卑,3級
泌,3級
碑,3級
姫,3級
漂,3級
苗,3級
符,3級
赴,3級
封,3級
伏,3級
覆,3級
墳,3級
紛,3級
癖,3級
穂,3級
募,3級
慕,3級
簿,3級
倣,3級
奉,3級
崩,3級
縫,3級
胞,3級
芳,3級
邦,3級
飽,3級
乏,3級
妨,3級
房,3級
某,3級
膨,3級
謀,3級
墨,3級
没,3級
翻,3級
魔,3級
埋,3級
膜,3級
又,3級
魅,3級
婿,3級
滅,3級
免,3級
幽,3級
憂,3級
誘,3級
揚,3級
揺,3級
擁,3級
抑,3級
裸,3級
濫,3級
吏,3級
隆,3級
了,3級
猟,3級
糧,3級
陵,3級
厘,3級
励,3級
零,3級
霊,3級
裂,3級
廉,3級
錬,3級
炉,3級
廊,3級
楼,3級
浪,3級
漏,3級
湾,3級
亜,準2級
尉,準2級
逸,準2級
姻,準2級
韻,準2級
渦,準2級
浦,準2級
疫,準2級
謁,準2級
猿,準2級
凹,準2級
翁,準2級
寡,準2級
禍,準2級
稼,準2級
蚊,準2級
懐,準2級
拐,準2級
劾,準2級
涯,準2級
垣,準2級
嚇,準2級
核,準2級
殻,準2級
潟,準2級
喝,準2級
括,準2級
渇,準2級
褐,準2級
轄,準2級
且,準2級
堪,準2級
寛,準2級
患,準2級
憾,準2級
棺,準2級
款,準2級
缶,準2級
艦,準2級
還,準2級
閑,準2級
陥,準2級
頑,準2級
飢,準2級
偽,準2級
宜,準2級
擬,準2級
窮,準2級
糾,準2級
拒,準2級
享,準2級
恭,準2級
挟,準2級
矯,準2級
暁,準2級
琴,準2級
菌,準2級
襟,準2級
謹,準2級
吟,準2級
虞,準2級
隅,準2級
靴,準2級
勲,準2級
薫,準2級
慶,準2級
渓,準2級
茎,準2級
蛍,準2級
傑,準2級
嫌,準2級
懸,準2級
献,準2級
謙,準2級
顕,準2級
弦,準2級
呉,準2級
碁,準2級
侯,準2級
江,準2級
洪,準2級
溝,準2級
肯,準2級
衡,準2級
貢,準2級
購,準2級
剛,準2級
拷,準2級
酷,準2級
懇,準2級
昆,準2級
佐,準2級
唆,準2級
詐,準2級
宰,準2級
栽,準2級
砕,準2級
斎,準2級
崎,準2級
索,準2級
傘,準2級
桟,準2級
嗣,準2級
肢,準2級
賜,準2級
滋,準2級
璽,準2級
漆,準2級
遮,準2級
蛇,準2級
爵,準2級
酌,準2級
珠,準2級
儒,準2級
囚,準2級
愁,準2級
臭,準2級
酬,準2級
醜,準2級
充,準2級
汁,準2級
渋,準2級
銃,準2級
叔,準2級
淑,準2級
粛,準2級
塾,準2級
俊,準2級
准,準2級
循,準2級
殉,準2級
庶,準2級
緒,準2級
叙,準2級
償,準2級
升,準2級
奨,準2級
宵,準2級
尚,準2級
彰,準2級
抄,準2級
渉,準2級
症,準2級
硝,準2級
礁,準2級
祥,準2級
粧,準2級
肖,準2級
訟,準2級
詔,準2級
剰,準2級
壌,準2級
浄,準2級
醸,準2級
唇,準2級
娠,準2級
紳,準2級
診,準2級
刃,準2級
甚,準2級
迅,準2級
酢,準2級
帥,準2級
睡,準2級
崇,準2級
枢,準2級
据,準2級
杉,準2級
畝,準2級
誓,準2級
逝,準2級
斉,準2級
析,準2級
拙,準2級
窃,準2級
仙,準2級
栓,準2級
旋,準2級
繊,準2級
薦,準2級
践,準2級
遷,準2級
漸,準2級
禅,準2級
塑,準2級
疎,準2級
租,準2級
喪,準2級
壮,準2級
捜,準2級
挿,準2級
曹,準2級
槽,準2級
荘,準2級
藻,準2級
霜,準2級
堕,準2級
妥,準2級
惰,準2級
駄,準2級
泰,準2級
濯,準2級
但,準2級
棚,準2級
痴,準2級
逐,準2級
秩,準2級
嫡,準2級
衷,準2級
弔,準2級
懲,準2級
挑,準2級
眺,準2級
勅,準2級
朕,準2級
津,準2級
塚,準2級
漬,準2級
坪,準2級
釣,準2級
亭,準2級
偵,準2級
貞,準2級
呈,準2級
廷,準2級
艇,準2級
逓,準2級
邸,準2級
泥,準2級
徹,準2級
撤,準2級
迭,準2級
悼,準2級
搭,準2級
棟,準2級
筒,準2級
謄,準2級
騰,準2級
洞,準2級
督,準2級
凸,準2級
屯,準2級
縄,準2級
軟,準2級
尼,準2級
妊,準2級
忍,準2級
寧,準2級
猫,準2級
把,準2級
覇,準2級
廃,準2級
培,準2級
媒,準2級
賠,準2級
伯,準2級
舶,準2級
漠,準2級
肌,準2級
鉢,準2級
閥,準2級
煩,準2級
頒,準2級
妃,準2級
扉,準2級
披,準2級
罷,準2級
賓,準2級
頻,準2級
瓶,準2級
扶,準2級
譜,準2級
附,準2級
侮,準2級
沸,準2級
憤,準2級
雰,準2級
丙,準2級
併,準2級
塀,準2級
幣,準2級
弊,準2級
偏,準2級
遍,準2級
俸,準2級
泡,準2級
褒,準2級
剖,準2級
紡,準2級
僕,準2級
撲,準2級
朴,準2級
堀,準2級
奔,準2級
摩,準2級
磨,準2級
麻,準2級
抹,準2級
繭,準2級
岬,準2級
銘,準2級
妄,準2級
盲,準2級
耗,準2級
戻,準2級
厄,準2級
柳,準2級
愉,準2級
癒,準2級
諭,準2級
唯,準2級
悠,準2級
猶,準2級
裕,準2級
融,準2級
庸,準2級
窯,準2級
羅,準2級
酪,準2級
履,準2級
痢,準2級
硫,準2級
竜,準2級
虜,準2級
僚,準2級
寮,準2級
涼,準2級
倫,準2級
塁,準2級
累,準2級
鈴,準2級
賄,準2級
枠,準2級
挨,2級
宛,2級
闇,2級
椅,2級
畏,2級
萎,2級
茨,2級
咽,2級
淫,2級
臼,2級
唄,2級
餌,2級
怨,2級
艶,2級
旺,2級
岡,2級
臆,2級
俺,2級
苛,2級
牙,2級
崖,2級
蓋,2級
骸,2級
柿,2級
顎,2級
葛,2級
釜,2級
鎌,2級
瓦,2級
韓,2級
玩,2級
伎,2級
畿,2級
亀,2級
僅,2級
巾,2級
錦,2級
駒,2級
串,2級
窟,2級
熊,2級
稽,2級
詣,2級
隙,2級
桁,2級
拳,2級
鍵,2級
舷,2級
股,2級
虎,2級
乞,2級
勾,2級
喉,2級
梗,2級
頃,2級
痕,2級
沙,2級
挫,2級
塞,2級
采,2級
阪,2級
埼,2級
柵,2級
拶,2級
斬,2級
鹿,2級
叱,2級
嫉,2級
腫,2級
呪,2級
蹴,2級
拭,2級
尻,2級
芯,2級
腎,2級
須,2級
裾,2級
凄,2級
醒,2級
戚,2級
脊,2級
煎,2級
羨,2級
腺,2級
詮,2級
膳,2級
曽,2級
狙,2級
遡,2級
爽,2級
痩,2級
捉,2級
袖,2級
遜,2級
汰,2級
唾,2級
堆,2級
戴,2級
誰,2級
旦,2級
綻,2級
酎,2級
捗,2級
椎,2級
潰,2級
爪,2級
鶴,2級
諦,2級
溺,2級
填,2級
貼,2級
妬,2級
賭,2級
藤,2級
憧,2級
瞳,2級
栃,2級
頓,2級
奈,2級
那,2級
謎,2級
鍋,2級
匂,2級
虹,2級
捻,2級
罵,2級
剥,2級
箸,2級
斑,2級
氾,2級
汎,2級
眉,2級
膝,2級
肘,2級
媛,2級
阜,2級
蔽,2級
蔑,2級
蜂,2級
貌,2級
頬,2級
睦,2級
勃,2級
昧,2級
枕,2級
蜜,2級
冥,2級
麺,2級
餅,2級
冶,2級
弥,2級
湧,2級
妖,2級
沃,2級
嵐,2級
藍,2級
梨,2級
璃,2級
侶,2級
瞭,2級
瑠,2級
呂,2級
賂,2級
弄,2級
麓,2級
脇,2級
丼,2級
傲,2級
刹,2級
哺,2級
喩,2級
嗅,2級
嘲,2級
毀,2級
彙,2級
恣,2級
惧,2級
慄,2級
憬,2級
拉,2級
摯,2級
曖,2級
楷,2級
鬱,2級
璧,2級
瘍,2級
箋,2級
籠,2級
緻,2級
羞,2級
訃,2級
諧,2級
貪,2級
踪,2級
辣,2級
錮,2級
唖,準1級
娃,準1級
阿,準1級
姶,準1級
逢,準1級
葵,準1級
茜,準1級
穐,準1級
渥,準1級
旭,準1級
葦,準1級
鯵,準1級
梓,準1級
斡,準1級
姐,準1級
虻,準1級
飴,準1級
絢,準1級
