# Mechanically extracted from the KUNREITAB / KUNREITAB_H / HEPBURNTAB / HEPBURNTAB_H
# string tables in common.py (python-romkan). No entries added, removed or edited.
kana	script	kunrei_shiki	hepburn	unicode_names
っづ	hiragana	ddu	ddu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER DU
って	hiragana	tte	tte	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER TE
っで	hiragana	dde	dde	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER DE
っと	hiragana	tto	tto	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER TO
っど	hiragana	ddo	ddo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER DO
っは	hiragana	hha	hha	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HA
っば	hiragana	bba	bba	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER BA
っぱ	hiragana	ppa	ppa	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER PA
っひ	hiragana	hhi	hhi	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HI
っひゃ	hiragana	hhya	hhya	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HI + HIRAGANA LETTER SMALL YA
っひゅ	hiragana	hhyu	hhyu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HI + HIRAGANA LETTER SMALL YU
っひょ	hiragana	hhyo	hhyo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HI + HIRAGANA LETTER SMALL YO
っび	hiragana	bbi	bbi	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER BI
っびゃ	hiragana	bbya	bbya	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER BI + HIRAGANA LETTER SMALL YA
っびゅ	hiragana	bbyu	bbyu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER BI + HIRAGANA LETTER SMALL YU
っびょ	hiragana	bbyo	bbyo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER BI + HIRAGANA LETTER SMALL YO
っぴ	hiragana	ppi	ppi	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER PI
っぴゃ	hiragana	ppya	ppya	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER PI + HIRAGANA LETTER SMALL YA
っぴゅ	hiragana	ppyu	ppyu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER PI + HIRAGANA LETTER SMALL YU
っぴょ	hiragana	ppyo	ppyo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER PI + HIRAGANA LETTER SMALL YO
っふ	hiragana	hhu	ffu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HU
っふぁ	hiragana	ffa	ffa	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HU + HIRAGANA LETTER SMALL A
っふぃ	hiragana	ffi	ffi	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HU + HIRAGANA LETTER SMALL I
っふぇ	hiragana	ffe	ffe	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HU + HIRAGANA LETTER SMALL E
っふぉ	hiragana	ffo	ffo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HU + HIRAGANA LETTER SMALL O
っぶ	hiragana	bbu	bbu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER BU
っぷ	hiragana	ppu	ppu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER PU
っへ	hiragana	hhe	hhe	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HE
っべ	hiragana	bbe	bbe	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER BE
っぺ	hiragana	ppe	ppe	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER PE
っほ	hiragana	hho	hho	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER HO
っぼ	hiragana	bbo	bbo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER BO
っぽ	hiragana	ppo	ppo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER PO
っや	hiragana	yya	yya	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER YA
っゆ	hiragana	yyu	yyu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER YU
っよ	hiragana	yyo	yyo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER YO
っら	hiragana	rra	rra	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER RA
っり	hiragana	rri	rri	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER RI
っりゃ	hiragana	rrya	rrya	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER RI + HIRAGANA LETTER SMALL YA
っりゅ	hiragana	rryu	rryu	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER RI + HIRAGANA LETTER SMALL YU
っりょ	hiragana	rryo	rryo	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER RI + HIRAGANA LETTER SMALL YO
っる	hiragana	rru	rru	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER RU
っれ	hiragana	rre	rre	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER RE
っろ	hiragana	rro	rro	HIRAGANA LETTER SMALL TU + HIRAGANA LETTER RO
つ	hiragana	tu	tsu	HIRAGANA LETTER TU
づ	hiragana	du	du	HIRAGANA LETTER DU
て	hiragana	te	te	HIRAGANA LETTER TE
で	hiragana	de	de	HIRAGANA LETTER DE
でぃ	hiragana	dyi	dyi	HIRAGANA LETTER DE + HIRAGANA LETTER SMALL I
と	hiragana	to	to	HIRAGANA LETTER TO
ど	hiragana	do	do	HIRAGANA LETTER DO
な	hiragana	na	na	HIRAGANA LETTER NA
に	hiragana	ni	ni	HIRAGANA LETTER NI
にゃ	hiragana	nya	nya	HIRAGANA LETTER NI + HIRAGANA LETTER SMALL YA
にゅ	hiragana	nyu	nyu	HIRAGANA LETTER NI + HIRAGANA LETTER SMALL YU
にょ	hiragana	nyo	nyo	HIRAGANA LETTER NI + HIRAGANA LETTER SMALL YO
ぬ	hiragana	nu	nu	HIRAGANA LETTER NU
ね	hiragana	ne	ne	HIRAGANA LETTER NE
の	hiragana	no	no	HIRAGANA LETTER NO
は	hiragana	ha	ha	HIRAGANA LETTER HA
ば	hiragana	ba	ba	HIRAGANA LETTER BA
ぱ	hiragana	pa	pa	HIRAGANA LETTER PA
ひ	hiragana	hi	hi	HIRAGANA LETTER HI
ひゃ	hiragana	hya	hya	HIRAGANA LETTER HI + HIRAGANA LETTER SMALL YA
ひゅ	hiragana	hyu	hyu	HIRAGANA LETTER HI + HIRAGANA LETTER SMALL YU
ひょ	hiragana	hyo	hyo	HIRAGANA LETTER HI + HIRAGANA LETTER SMALL YO
び	hiragana	bi	bi	HIRAGANA LETTER BI
びゃ	hiragana	bya	bya	HIRAGANA LETTER BI + HIRAGANA LETTER SMALL YA
びゅ	hiragana	byu	byu	HIRAGANA LETTER BI + HIRAGANA LETTER SMALL YU
びょ	hiragana	byo	byo	HIRAGANA LETTER BI + HIRAGANA LETTER SMALL YO
ぴ	hiragana	pi	pi	HIRAGANA LETTER PI
ぴゃ	hiragana	pya	pya	HIRAGANA LETTER PI + HIRAGANA LETTER SMALL YA
ぴゅ	hiragana	pyu	pyu	HIRAGANA LETTER PI + HIRAGANA LETTER SMALL YU
ぴょ	hiragana	pyo	pyo	HIRAGANA LETTER PI + HIRAGANA LETTER SMALL YO
ふ	hiragana	hu	fu	HIRAGANA LETTER HU
ふぁ	hiragana	fa	fa	HIRAGANA LETTER HU + HIRAGANA LETTER SMALL A
ふぃ	hiragana	fi	fi	HIRAGANA LETTER HU + HIRAGANA LETTER SMALL I
ふぇ	hiragana	fe	fe	HIRAGANA LETTER HU + HIRAGANA LETTER SMALL E
ふぉ	hiragana	fo	fo	HIRAGANA LETTER HU + HIRAGANA LETTER SMALL O
ぶ	hiragana	bu	bu	HIRAGANA LETTER BU
ぷ	hiragana	pu	pu	HIRAGANA LETTER PU
へ	hiragana	he	he	HIRAGANA LETTER HE
べ	hiragana	be	be	HIRAGANA LETTER BE
ぺ	hiragana	pe	pe	HIRAGANA LETTER PE
ほ	hiragana	ho	ho	HIRAGANA LETTER HO
ぼ	hiragana	bo	bo	HIRAGANA LETTER BO
ぽ	hiragana	po	po	HIRAGANA LETTER PO
ま	hiragana	ma	ma	HIRAGANA LETTER MA
み	hiragana	mi	mi	HIRAGANA LETTER MI
みゃ	hiragana	mya	mya	HIRAGANA LETTER MI + HIRAGANA LETTER SMALL YA
みゅ	hiragana	myu	myu	HIRAGANA LETTER MI + HIRAGANA LETTER SMALL YU
みょ	hiragana	myo	myo	HIRAGANA LETTER MI + HIRAGANA LETTER SMALL YO
む	hiragana	mu	mu	HIRAGANA LETTER MU
め	hiragana	me	me	HIRAGANA LETTER ME
も	hiragana	mo	mo	HIRAGANA LETTER MO
ゃ	hiragana	xya	xya	HIRAGANA LETTER SMALL YA
や	hiragana	ya	ya	HIRAGANA LETTER YA
ゅ	hiragana	xyu	xyu	HIRAGANA LETTER SMALL YU
ゆ	hiragana	yu	yu	HIRAGANA LETTER YU
ょ	hiragana	xyo	xyo	HIRAGANA LETTER SMALL YO
よ	hiragana	yo	yo	HIRAGANA LETTER YO
ら	hiragana	ra	ra	HIRAGANA LETTER RA
り	hiragana	ri	ri	HIRAGANA LETTER RI
りゃ	hiragana	rya	rya	HIRAGANA LETTER RI + HIRAGANA LETTER SMALL YA
りゅ	hiragana	ryu	ryu	HIRAGANA LETTER RI + HIRAGANA LETTER SMALL YU
りょ	hiragana	ryo	ryo	HIRAGANA LETTER RI + HIRAGANA LETTER SMALL YO
る	hiragana	ru	ru	HIRAGANA LETTER RU
れ	hiragana	re	re	HIRAGANA LETTER RE
ろ	hiragana	ro	ro	HIRAGANA LETTER RO
ゎ	hiragana	xwa	xwa	HIRAGANA LETTER SMALL WA
わ	hiragana	wa	wa	HIRAGANA LETTER WA
ゐ	hiragana	wi	wi	HIRAGANA LETTER WI
ゑ	hiragana	we	we	HIRAGANA LETTER WE
を	hiragana	wo	wo	HIRAGANA LETTER WO
ん	hiragana	n'	n'	HIRAGANA LETTER N
ー	hiragana	-	-	KATAKANA-HIRAGANA PROLONGED SOUND MARK
