group	transitive_kanji	transitive_kana	transitive_pos	transitive_gloss	intransitive_kanji	intransitive_kana	intransitive_pos	intransitive_gloss
4	増やす	ふやす	v5s,vt	to increase; to add to; to augment	増える	ふえる	v1,vi	to increase; to multiply
4	癒す	いやす	v5s	to heal; to cure	癒える	いえる	v1	to recover; to be healed
4	費やす	ついやす	v5s	to spend; to devote; to waste	費える	ついえる	v1	to collapse
4	肥やす	こやす	v5s	to fertilize; to fertilise; to manure; to enrich	肥える	こえる	v1	(1) to grow fat; to grow fertile; (2) to have good taste
4	燃やす	もやす	v5s	to burn	燃える	もえる	v1	to burn
4	起こす	おこす	v5s	to raise; to cause; to wake someone	起きる	おきる	v1	(1) to get up; to rise; (2) to wake up; (3) to occur; to happen; to take place起こる [おこる](v5r) to occur; to happen
4	落とす	おとす	v5s	to drop; to lose; to let fall	落ちる	おちる	v1	(1) to fall down; to drop; (2) to fail (e.g. exam); (3) to crash; to degenerate; to degrade
4	下ろす	おろす	v5s	to take down; to launch; to drop; to lower; to let (a person) off; to unload; to discharge	下りる	おりる	v1	to alight (e.g. from bus); to get off; to descend (e.g. a mountain)
4	降ろす	おろす	v5s	to take down; to launch; to drop; to lower; to let (a person) off; to unload; to discharge	降りる	おりる	v1	to alight (e.g. from bus); to get off; to descend (e.g. a mountain)
4	干す	ほす	v5s,vt	to air; to dry; to desiccate; to drain (off); to drink up	干る	ひる	v1	to dry
4	消す	けす	v5s	(1) to erase; to delete; (2) to turn off power; (3) to bump off (sl)	消える	きえる	v1	to go out; to vanish; to disappear
4	越す	こす	v5s	(1) to cross over (e.g. mountain); to go across; (2) to go over (e.g. with audience); (3) to pass (time, e.g. a winter); (4) to surpass; to be better than; (5) to move house	越える	こえる	v1	to exceed; to cross over; to cross; to pass through; to pass over (out of)
4	寝かす	ねかす	v5s	to put to sleep; to lay (something) on its side	寝る	ねる	v1	to go to bed; to lie down; to sleep
4	汚す	けがす	v5s	(1) to disgrace; to dishonour; to dishonor; (2) to pollute; to contaminate; to soil; to make dirty; to stain	汚れる	けがれる	v1	to get dirty; to become dirty
4	壊す	こわす	v5s,vt	to break; to break down	壊れる	こわれる	v1,vi	to be broken; to break
4	隠す	かくす	v5s,vt	to hide; to conceal	隠れる	かくれる	v1,vi	to hide; to be hidden; to conceal oneself; to disappear
4	崩す	くずす	v5s	to destroy; to pull down; to make change (money)	崩れる	くずれる	v1	to collapse; to crumble
4	倒す	たおす	v5s,vt	to throw down; to beat; to bring down; to blow down; to fell; to knock down; to trip up; to defeat; to ruin; to overthrow; to kill; to leave unpaid; to cheat	倒れる	たおれる	v1,vi	to collapse; to break down; to go bankrupt; to fall; to drop; to die; to succumb to; to fall senseless; to be ruined; to have a bad debt
4	離す	はなす	v5s	to part; to divide; to separate	離れる	はなれる	v1	to be separated from; to leave; to go away; to be a long way off
4	現す	あらわす	v5s	to show; to indicate; to display	現れる	あらわれる	v1	(1) to appear; to come in sight; to become visible; to come out; to embody; to materialize; to materialise; (2) to express oneself
4	零す	こぼす	v5s,vt	to spill	零れる	こぼれる	v1,vi	to overflow; to spill
4	流す	ながす	v5s	to drain; to float; to shed (blood, tears); to cruise (e.g. taxi)	流れる	ながれる	v1	to stream; to flow (liquid, time, etc.); to run (ink); to be washed away
4	解ぐす	ほぐす	v5s	to unfasten	解れる	ほぐれる	v1	to come untied; to come apart
4	穢す	けがす	v5s	(1) to disgrace; to dishonour; to dishonor; (2) to pollute; to contaminate; to soil; to make dirty; to stain	穢れる	けがれる	v1	to get dirty; to become dirty
4	逃す	のがす	v5s	to let loose; to set free; to let escape	逃れる	のがれる	v1	to escape
4	乱す	みだす	v5s	to throw out of order; to disarrange; to disturb	乱れる	みだれる	v1	to get confused; to be disordered; to be disturbed
4	潰す	つぶす	v5s	to smash; to waste	潰れる	つぶれる	v1	to be smashed; to go bankrupt
4	乾かす	かわかす	v5s,vt	to dry (clothes, etc.); to desiccate	乾く	かわく	v5k,vi	to get dry
4	驚かす	おどろかす	v5s	to surprise; to frighten; to create a stir	驚く	おどろく	v5k	to be surprised; to be astonished
4	照らす	てらす	v5s	to shine on; to illuminate	照る	てる	v5r,vi	to shine
4	凝らす	こらす	v5s	to concentrate; to devote; to apply; to strain; to rack	凝る	こる	v5r	to grow stiff; to be absorbed in; to be devoted to; to be a fanatic; to elaborate
4	減らす	へらす	v5s,vt	to abate; to decrease; to diminish; to shorten	減る	へる	v5r,vi	to decrease (in size or number); to diminish; to abate
4	交わす	かわす	v5s	to exchange (messages); to dodge; to parry; to avoid; to turn aside	交う	かう	v5u	to take turns; to mingle together
4	飛ばす	とばす	v5s	to skip over; to omit	飛ぶ	とぶ	v5b	to jump; to fly; to leap; to spring; to bound; to hop
4	動かす	うごかす	v5s,vt	to move; to shift; to set in motion; to operate; to inspire; to rouse; to influence; to mobilize; to mobilise; to deny; to change	動く	うごく	v5k,vi	to move; to stir; to shift; to shake; to swing; to operate; to run; to go; to work; to be touched; to be influenced; to waver; to fluctuate; to vary; to change; to be transferred
4	凝らす	こごらす	v5s,vt	to freeze; to congeal	凝る	こごる	v5r	to congeal; to freeze
4	燻す	いぶす	v5s,vt	(1) to smoke (something); to fumigate; (2) to oxidize; to oxidise	燻ぶる	いぶる	v5r	to smoke; to smoulder; to smolder; to sputter
4	転がす	ころがす	v5s,vt	to roll	転がる	ころがる	v5r	to roll; to tumble
4	回す	まわす	v5s	to turn; to revolve	舞う	まう	v5u,vi	to dance; to flutter about; to revolve回る [まわる](v5r) (1) to turn; to revolve; (2) to visit several places
4	沸かす	わかす	v5s,vt	to boil; to heat	沸く	わく	v5k	to boil; to grow hot; to get excited; to gush forth
4	鳴らす	ならす	v5s,vt	to ring; to sound; to chime; to beat; to snort (nose)	鳴る	なる	v5r	to sound; to ring; to resound; to echo; to roar; to rumble
4	脱がす	ぬがす	v5s	to strip someone; to help someone remove (clothes)	脱ぐ	ぬぐ	v5g	to take off (clothes, shoes, etc.); to undress
4	浮かす	うかす	v5s	to raise; to rise	浮く	うく	v5k	to float; to become merry; to become loose
4	及ぼす	およぼす	v5s	to exert; to cause; to exercise	及ぶ	およぶ	v5b	to reach; to come up to; to amount to; to befall; to happen to; to extend; to match; to equal
4	遊ばす	あそばす	v5s	to let one play; to leave idle; to do (polite)	遊ぶ	あそぶ	v5b	(1) to play; to make a visit (esp. for pleasure); (2) to be idle; to do nothing
4	散らす	ちらす	v5s	to scatter; to disperse; to distribute	散る	ちる	v5r	to fall; to scatter (e.g. blossoms)
4	曇らす	くもらす	v5s	to encloud; to make dim or dull; to frown	曇る	くもる	v5r	to become cloudy; to become dim
4	反らす	そらす	v5s,vt	to bend; to warp; to curve	反る	そる	v5r	(1) to warp; to be warped; to curve; to be curved; to be arched; (2) to bend (backward)
4	尽かす	つかす	v5s	to be disgusted with; to give up on	尽くす	つくす	v5s	(1) to exhaust; to run out; (2) to devote; to serve (a person); to befriend
4	成す	なす	v5s	to perform; to accomplish	成る	なる	v5r	(uk) to become
4	通す	とおす	v5s	to let pass; to overlook; to continue; to keep; to make way for; to persist in	通る	とおる	v5r	to pass (by); to go through; to walk along; to pass exams
4	直す,治す	なおす	v5s,vt	(1) to cure; to heal; (2) to fix; to correct; to repair	直る,治る	なおる	v5r,vi	(1) to be cured; to get well; to be healed; (2) to get mended; to be repaired; to be fixed
4	返す	かえす	v5s,vt	to return something	返る	かえる	v5r	to return; to come back; to go back
4	帰す,還す	かえす	v5s	to send back	帰る	かえる	v5r	to go back; to go home; to come home; to return
4	残す	のこす	v5s	to leave (behind, over); to bequeath; to save; to reserve	残る	のこる	v5r	to remain; to be left
4	下す,降す	くだす	v5s	to lower; to let go down	下る,降る	くだる	v5r	to get down; to descend
4	来す	きたす	v5s	to cause; to induce; to bring about a result or state; to produce	来る	きたる	v5r	to come; to arrive; to be due to; to be next; to be forthcoming
4	浸す	ひたす	v5s	to soak; to dip; to drench	浸る	ひたる	v5r	to be soaked in; to be flooded
4	被す	かぶす	v5s	to cover (with something)also 被せる [かぶせる]	被る	かぶる	v5r	to wear; to put on (head); to pour or dash water (on oneself)
4	散らかす	ちらかす	v5s	to scatter around; to leave untidy	散らかる	ちらかる	v5r	to be in disorder; to lie scattered around
4	乗す	のす	v5s	to place on (something); to take on board; to give a ride to乗せる [のせる](v1) to place on (something); to take on board; etc.	乗る	のる	v5r	(1) to get on; to ride in; to board; to mount; to get up on; (2) to spread (paints); to be taken in; (3) to share in; to join; to be found in (a dictionary); to feel like doing; to be mentioned in; to be in harmony with
4	寄す	よす	v5s	(arch) to bring near; to put close; to let come near	寄る	よる	v5r	to visit; to drop in; to approach
4	足す	たす	v5s	(1) to add (numbers); (2) to do (e.g. one's business)	足る	たる	v5r	to be sufficient; to be enough
4	濁す	にごす	v5s	to make muddy; to prevaricate	濁る	にごる	v5r	to become muddy; to get impure
4	戻す	もどす	v5s	to restore; to put back; to return	戻る	もどる	v5r	to turn back; to return
4	貸す	かす	v5s	to lend	借る	かる	v5r	to borrow; to have a loan; to hire; to rent; to buy on credit
4	渡す	わたす	v5s	to pass over; to hand over	渡る	わたる	v5r	to cross over; to go across
4	移す	うつす	v5s	to remove; to transfer; to infect	移る	うつる	v5r	(1) to move (house); to transfer (department); (2) to be infected; to be contagious
4	映す	うつす	v5s	to project; to reflect; to cast (shadow)	映る	うつる	v5r	to be reflected; to harmonize with; to harmonise with; to come out (photo)
4	写す	うつす		to film; to transcribe; to duplicate; to reproduce; to trace; to describe; to picture; to photograph; to imitate	写る	うつる	v5r	to be photographed; to be projected
4	余す	あます	v5s	to save; to leave over; to spare	余る	あまる	v5r	to remain; to be left over; to be in excess; to be too many
4	過ごす	すごす	v5s,vt	to pass; to spend; to go through; to tide over	過ぎる	すぎる	v1,vi	to pass; to go beyond; to elapse; to exceed
4	無くす	なくす	v5s	(1) to lose something; (2) to get rid of	無くなる	なくなる	v5r	to disappear; to get lost
4	悩ます	なやます	v5s	to afflict; to torment; to harass; to molest	悩む	なやむ	v5m	to be worried; to be troubled
4	済ます	すます	v5s	(1) to finish; to get it over with; to conclude; (2) to settle; to pay back; (3) to get along (without something)	済む	すむ	v5m	to finish; to end; to be completed
4	澄ます,清ます	すます	v5s	to clear; to make clear; to be unruffled; to look unconcerned; to look demure; to look prim; to put on airs	澄む,清む	すむ	v5m	to clear (e.g. weather); to become transparent
4	外す	はずす	v5s	(1) to unfasten; (2) to remove; (3) to bump off (sl)	外れる	はずれる	v1,vi	to be disconnected; to get out of place; to be off; to be out (e.g. of gear)
5	生む	うむ	v5m	to give birth; to deliver; to produce	生まれる	うまれる	v1	to be born
5	浴びせる	あびせる	v1	to pour on	浴びる	あびる	v1	to bathe; to bask in the sun; to shower
5	寄せる	よせる	v1	(1) to come near; to let someone approach; (2) to collect; to gather; to add; to put aside	寄る	よる	v5r	to visit; to drop in; to approach
