level,kanji,readings,meanings
N3,局,キョク | つぼね,bureau | board | office | affair | conclusion | court lady | lady-in-waiting | her apartment
N3,絵,カイ | エ,picture | drawing | painting | sketch
N3,恐,キョウ | おそ.れる | おそ.る | おそ.ろしい | こわ.い | こわ.がる,fear | dread | awe
N3,頂,チョウ | いただ.く | いただき,place on the head | receive | top of head | top | summit | peak
N3,様,ヨウ | ショウ | さま | さん,Esq. | way | manner | situation | polite suffix
N3,必,ヒツ | かなら.ず,invariably | certain | inevitable
N3,共,キョウ | とも | とも.に | ~ども,together | both | neither | all | and | alike | with
N3,表,ヒョウ | おもて | ~おもて | あらわ.す | あらわ.れる | あら.わす,surface | table | chart | diagram
N3,加,カ | くわ.える | くわ.わる,add | addition | increase | join | include | Canada
N3,与,ヨ | あた.える | あずか.る | くみ.する | ともに,bestow | participate in | give | award | impart | provide | cause | gift | godsend
N3,規,キ,standard | measure
N3,割,カツ | わ.る | わり | わ.り | わ.れる | さ.く,proportion | comparatively | divide | cut | separate | split
N3,馬,バ | うま | うま~ | ま,horse
N3,夢,ム | ボウ | ゆめ | ゆめ.みる | くら.い,dream | vision | illusion
N3,部,ブ | ~べ,section | bureau | dept | class | copy | part | portion | counter for copies of a newspaper or magazine
N3,数,スウ | ス | サク | ソク | シュ | かず | かぞ.える | しばしば | せ.める | わずらわ.しい,number | strength | fate | law | figures
N3,客,キャク | カク,guest | visitor | customer | client
N3,論,ロン,argument | discourse
N3,絶,ゼツ | た.える | た.やす | た.つ,discontinue | sever | cut off | abstain | interrupt | suppress | be beyond | without match | peerless | unparalleled
N3,互,ゴ | たが.い | かたみ.に,mutually | reciprocally | together
N3,恥,チ | は.じる | はじ | は.じらう | は.ずかしい,shame | dishonor
N3,偉,イ | えら.い,admirable | greatness | remarkable | conceited | famous | excellent
N3,倒,トウ | たお.れる | ~だお.れ | たお.す | さかさま | さかさ | さかしま,overthrow | fall | collapse | drop | break down
N3,深,シン | ふか.い | ~ぶか.い | ふか.まる | ふか.める | み~,deep | heighten | intensify | strengthen
N3,除,ジョ | ジ | のぞ.く | ~よ.け,exclude | division (x/3) | remove | abolish | cancel | except
N3,列,レツ | レ,file | row | rank | tier | column
N3,老,ロウ | お.いる | ふ.ける,old man | old age | grow old
N3,非,ヒ | あら.ず,un- | mistake | negative | injustice | non-
N3,慣,カン | な.れる | な.らす,accustomed | get used to | become experienced
N3,向,コウ | む.く | む.い | ~む.き | む.ける | ~む.け | む.かう | む.かい | む.こう | む.こう~ | むこ | むか.い,yonder | facing | beyond | confront | defy | tend toward | approach
N3,彼,ヒ | かれ | かの | か.の,he | that | the
N3,経,ケイ | キョウ | へ.る | た.つ | たていと | はか.る | のり,sutra | longitude | pass thru | expire | warp
N3,術,ジュツ | すべ,art | technique | skill | means | trick | resources | magic
N3,頭,トウ | ズ | ト | あたま | かしら | ~がしら | かぶり,head | counter for large animals
N3,機,キ | はた,loom | mechanism | machine | airplane | opportunity | potency | efficacy | occasion
N3,良,リョウ | よ.い | ~よ.い | い.い | ~い.い,good | pleasing | skilled
N3,敗,ハイ | やぶ.れる,failure | defeat | reversal
N3,負,フ | ま.ける | ま.かす | お.う,defeat | negative | - | minus | bear | owe | assume a responsibility
N3,回,カイ | エ | まわ.る | ~まわ.る | ~まわ.り | まわ.す | ~まわ.す | まわ.し~ | ~まわ.し | もとお.る | か.える,-times | round | game | revolve | counter for occurrences
N3,冷,レイ | つめ.たい | ひ.える | ひ.や | ひ.ややか | ひ.やす | ひ.やかす | さ.める | さ.ます,"cool | cold (beer, person) | chill"
N3,幾,キ | いく~ | いく.つ | いく.ら,how many | how much | how far | how long | some | several
N3,全,ゼン | まった.く | すべ.て,whole | entire | all | complete | fulfill
N3,害,ガイ,harm | injury
N3,際,サイ | きわ | ~ぎわ,occasion | side | edge | verge | dangerous | adventurous | indecent | time | when
N3,才,サイ,genius | years old | cubic shaku
N3,落,ラク | お.ちる | お.ち | お.とす,fall | drop | come down | village | hamlet
N3,声,セイ | ショウ | こえ | こわ~,voice
N3,平,ヘイ | ビョウ | ヒョウ | たい.ら | ~だいら | ひら | ひら~,even | flat | peace
N3,伝,デン | テン | つた.わる | つた.える | つた.う | つだ.う | ~づた.い | つて,transmit | go along | walk along | follow | report | communicate | legend | tradition
N3,婦,フ | よめ,lady | woman | wife | bride
N3,察,サツ,guess | presume | surmise | judge | understand
N3,勤,キン | ゴン | つと.める | ~づと.め | つと.まる | いそ.しむ,diligence | become employed | serve
N3,残,ザン | サン | のこ.る | のこ.す | そこな.う | のこ.り,remainder | leftover | balance
N3,罪,ザイ | つみ,guilt | sin | crime | fault | blame | offense
N3,違,イ | ちが.う | ちが.い | ちが.える | ~ちが.える | たが.う | たが.える,difference | differ
N3,似,ジ | に.る | ひ.る,becoming | resemble | counterfeit | imitate | suitable
N3,反,ハン | ホン | タン | ホ | そ.る | そ.らす | かえ.す | かえ.る | ~かえ.る,anti-
N3,点,テン | つ.ける | つ.く | た.てる | さ.す | とぼ.す | とも.す | ぼち,spot | point | mark | speck | decimal point
N3,労,ロウ | ろう.する | いたわ.る | いた.ずき | ねぎら | つか.れる | ねぎら.う,labor | thank for | reward for | toil | trouble
N3,鳴,メイ | な.く | な.る | な.らす,chirp | cry | bark | sound | ring | echo | honk
N3,側,ソク | かわ | がわ | そば,side | lean | oppose | regret
N3,産,サン | う.む | う.まれる | うぶ~ | む.す,products | bear | give birth | yield | childbirth | native | property
N3,忙,ボウ | モウ | いそが.しい | せわ.しい | おそ.れる | うれえるさま,busy | occupied | restless
N3,申,シン | もう.す | もう.し~ | さる,have the honor to | sign of the monkey | 3-5PM | ninth sign of Chinese zodiac
N3,疑,ギ | うたが.う,doubt | distrust | be suspicious | question
N3,刻,コク | きざ.む | きざ.み,engrave | cut fine | chop | hash | mince | time | carving
N3,石,セキ | シャク | コク | いし,stone
N3,葉,ヨウ | は,leaf | plane | lobe | needle | blade | spear | counter for flat things | fragment | piece
N3,化,カ | ケ | ば.ける | ば.かす | ふ.ける | け.する,change | take the form of | influence | enchant | delude | -ization
N3,想,ソウ | ソ | おも.う,concept | think | idea | thought
N3,顔,ガン | かお,face | expression
N3,報,ホウ | むく.いる,report | news | reward | retribution
N3,突,トツ | カ | つ.く,stab | protruding | thrust | pierce | prick | collision | sudden
N3,悲,ヒ | かな.しい | かな.しむ,grieve | sad | deplore | regret
N3,引,イン | ひ.く | ひ.き | ひ.き~ | ~び.き | ひ.ける,pull | tug | jerk | admit | install | quote | refer to
N3,指,シ | ゆび | さ.す | ~さ.し,finger | point to | indicate | put into | play (chess) | measure (ruler)
N3,福,フク,blessing | fortune | luck | wealth
N3,初,ショ | はじ.め | はじ.めて | はつ | はつ~ | うい~ | ~そ.める | ~ぞ.め,first time | beginning
N3,舞,ブ | ま.う | ~ま.う | まい,dance | flit | circle | wheel
N3,争,ソウ | あらそ.う | いか.でか,contend | dispute | argue
N3,腹,フク | はら,abdomen | belly | stomach
N3,続,ゾク | ショク | コウ | キョウ | つづ.く | つづ.ける | つぐ.ない,continue | series | sequel
N3,欠,ケツ | ケン | か.ける | か.く,lack | gap | fail | yawning radical (no. 76)
N3,流,リュウ | ル | なが.れる | なが.れ | なが.す | ~なが.す,current | a sink | flow | forfeit
N3,耳,ジ | みみ,ear
N3,番,バン | つが.い,turn | number in a series
N3,険,ケン | けわ.しい,precipitous | inaccessible place | impregnable position | steep place | sharp eyes
N3,両,リョウ | てる | ふたつ,"both | old Japanese coin | counter for carriages (e.g., in a train) | two"
N3,組,ソ | く.む | くみ | ~ぐみ,association | braid | plait | construct | assemble | unite | cooperate | grapple
N3,婚,コン,marriage
N3,適,テキ | かな.う,suitable | occasional | rare | qualified | capable
N3,光,コウ | ひか.る | ひかり,ray | light
N3,談,ダン,discuss | talk
N3,背,ハイ | せ | せい | そむ.く | そむ.ける,stature | height | back | behind | disobey | defy | go back on | rebel
N3,酒,シュ | さけ | さか~,sake | alcohol
N3,号,ゴウ | さけ.ぶ | よびな,nickname | number | item | title | pseudonym | name | call
N3,歯,シ | よわい | は | よわ.い | よわい.する,tooth | cog
N3,浮,フ | う.く | う.かれる | う.かぶ | む | う.かべる,floating | float | rise to surface
N3,治,ジ | チ | おさ.める | おさ.まる | なお.る | なお.す,reign | be at peace | calm down | subdue | quell | govt | cure | heal | rule | conserve
N3,存,ソン | ゾン | ながら.える | あ.る | たも.つ | と.う,exist | suppose | be aware of | believe | feel
N3,等,トウ | ひと.しい | など | ~ら,etc. | and so forth | class (first) | quality | equal | similar
N3,役,ヤク | エキ,duty | war | campaign | drafted labor | office | service | role
N3,怒,ド | ヌ | いか.る | おこ.る,angry | be offended
N3,寄,キ | よ.る | ~よ.り | よ.せる,draw near | stop in | bring near | gather | collect | send | forward
N3,記,キ | しる.す,scribe | account | narrative
N3,程,テイ | ほど | ~ほど,extent | degree | law | formula | distance | limits | amount
N3,果,カ | は.たす | はた.す | ~は.たす | は.てる | ~は.てる | は.て,fruit | reward | carry out | achieve | complete | end | finish | succeed
N3,横,オウ | よこ,sideways | side | horizontal | width | woof | unreasonable | perverse
N3,好,コウ | この.む | す.く | よ.い | い.い,fond | pleasing | like something
N3,幸,コウ | さいわ.い | さち | しあわ.せ,happiness | blessing | fortune
N3,覚,カク | おぼ.える | さ.ます | さ.める | さと.る,memorize | learn | remember | awake | sober up
N3,投,トウ | な.げる | ~な.げ,throw | discard | abandon | launch into | join | invest in | hurl | give up | sell at a loss
N3,寒,カン | さむ.い,cold
N3,助,ジョ | たす.ける | たす.かる | す.ける | すけ,help | rescue | assist
N3,否,ヒ | いな | いや,negate | no | noes | refuse | decline | deny
N3,成,セイ | ジョウ | な.る | な.す | ~な.す,turn into | become | get | grow | elapse | reach
N3,御,ギョ | ゴ | おん~ | お~ | み~,honorable | manipulate | govern
N3,速,ソク | はや.い | はや~ | はや.める | すみ.やか,quick | fast
N3,箱,ソウ | はこ,box | chest | case | bin | railway car
N3,例,レイ | たと.える,example | custom | usage | precedent
N3,約,ヤク | つづ.まる | つづ.める | つづま.やか,promise | approximately | shrink
N3,球,キュウ | たま,ball | sphere
N3,警,ケイ | いまし.める,admonish | commandment
N3,遠,エン | オン | とお.い,distant | far
N3,押,オウ | お.す | お.し~ | お.っ~ | お.さえる | おさ.える,push | stop | check | subdue | attach | seize | weight | shove | press | seal | do in spite of
N3,相,ソウ | ショウ | あい~,inter- | mutual | together | each other | minister of state | councillor | aspect | phase | physiognomy
N3,痛,ツウ | いた.い | いた.む | いた.ましい | いた.める,pain | hurt | damage | bruise
N3,説,セツ | ゼイ | と.く,opinion | theory | explanation | rumor
N3,美,ビ | ミ | うつく.しい,beauty | beautiful
N3,妻,サイ | つま,wife | spouse
N3,景,ケイ,scenery | view
N3,寝,シン | ね.る | ね.かす | い.ぬ | みたまや | や.める,lie down | sleep | rest | bed | remain unsold
N3,放,ホウ | はな.す | ~っぱな.し | はな.つ | はな.れる | こ.く | ほう.る,set free | release | fire | shoot | emit | banish | liberate
N3,更,コウ | さら | さら.に | ふ.ける | ふ.かす,grow late | night watch | sit up late | of course | renew | renovate | again | more and more | further
N3,頼,ライ | たの.む | たの.もしい | たよ.る,trust | request
N3,船,セン | ふね | ふな~,ship | boat
N3,在,ザイ | あ.る,exist | outskirts | suburbs | located in
N3,市,シ | いち,market | city | town
N3,猫,ビョウ | ねこ,cat
N3,居,キョ | コ | い.る | ~い | お.る,reside | to be | exist | live with
N3,付,フ | つ.ける | ~つ.ける | ~づ.ける | つ.け | つ.け~ | ~つ.け | ~づ.け | ~づけ | つ.く | ~づ.く | つ.き | ~つ.き | ~つき | ~づ.き | ~づき,adhere | attach | refer to | append
N3,任,ニン | まか.せる | まか.す,responsibility | duty | term | entrust to | appoint
N3,構,コウ | かま.える | かま.う,posture | build | pretend
N3,席,セキ | むしろ,seat | mat | occasion | place
N3,定,テイ | ジョウ | さだ.める | さだ.まる | さだ.か,determine | fix | establish | decide
N3,容,ヨウ | い.れる,contain | form | looks
N3,太,タイ | タ | ふと.い | ふと.る,plump | thick | big around
N3,連,レン | つら.なる | つら.ねる | つ.れる | ~づ.れ,take along | lead | join | connect | party | gang | clique
N3,留,リュウ | ル | と.める | と.まる | とど.める | とど.まる | るうぶる,detain | fasten | halt | stop
N3,怖,フ | ホ | こわ.い | こわ.がる | お.じる | おそ.れる,dreadful | be frightened | fearful
N3,座,ザ | すわ.る,squat | seat | cushion | gathering | sit
N3,曲,キョク | ま.がる | ま.げる | くま,bend | music | melody | composition | pleasure | injustice | fault | curve | crooked | perverse | lean
N3,対,タイ | ツイ | あいて | こた.える | そろ.い | つれあ.い | なら.ぶ | むか.う,vis-a-vis | opposite | even | equal | versus | anti- | compare
N3,掛,カイ | ケイ | か.ける | ~か.ける | か.け | ~か.け | ~が.け | か.かる | ~か.かる | ~が.かる | か.かり | ~が.かり | かかり | ~がかり,hang | suspend | depend | arrive at | tax | pour
N3,済,サイ | セイ | す.む | ~ず.み | ~ずみ | す.まない | す.ます | ~す.ます | すく.う | な.す | わたし | わた.る,"settle (debt, etc.) | relieve (burden) | finish | come to an end | excusable | need not"
N3,演,エン,performance | act | play | render | stage
N3,静,セイ | ジョウ | しず~ | しず.か | しず.まる | しず.める,quiet
N3,路,ロ | ル | ~じ | みち,path | route | road | distance
N3,盗,トウ | ぬす.む | ぬす.み,steal | rob | pilfer
N3,吹,スイ | ふ.く,blow | breathe | puff | emit | smoke
N3,具,グ | そな.える | つぶさ.に,"tool | utensil | means | possess | ingredients | counter for armor, suits, sets of furniture"
N3,閉,ヘイ | と.じる | と.ざす | し.める | し.まる | た.てる,closed | shut
N3,示,ジ | シ | しめ.す,show | indicate | point out | express | display
N3,庭,テイ | にわ,courtyard | garden | yard
N3,差,サ | さ.す | さ.し,distinction | difference | variation | discrepancy | margin | balance
N3,給,キュウ | たま.う | たも.う | ~たま.え,salary | wage | gift | allow | grant | bestow on
N3,都,ト | ツ | みやこ,metropolis | capital | all | everything
N3,途,ト | みち,route | way | road
N3,登,トウ | ト | ドウ | ショウ | チョウ | のぼ.る | あ.がる,ascend | climb up
N3,処,ショ | ところ | ~こ | お.る,dispose | manage | deal with | sentence | condemn | act | behave | place
N3,確,カク | コウ | たし.か | たし.かめる,assurance | firm | tight | hard | solid | confirm | clear | evident
N3,払,フツ | ヒツ | ホツ | はら.う | ~はら.い | ~ばら.い,pay | clear out | prune | banish | dispose of
N3,暗,アン | くら.い | くら.む | くれ.る,darkness | disappear | shade | informal | grow dark | be blinded
N3,危,キ | あぶ.ない | あや.うい | あや.ぶむ,dangerous | fear | uneasy
N3,草,ソウ | くさ | くさ~ | ~ぐさ,grass | weeds | herbs | pasture | write | draft
N3,制,セイ,system | law | rule
N3,許,キョ | ゆる.す | もと,permit | approve
N3,優,ユウ | ウ | やさ.しい | すぐ.れる | まさ.る,tenderness | excel | surpass | actor | superiority | gentleness
N3,余,ヨ | あま.る | あま.り | あま.す | あんま.り,too much | myself | surplus | other | remainder
N3,娘,ジョウ | むすめ | こ,daughter | girl
N3,犯,ハン | ボン | おか.す,crime | sin | offense
N3,遊,ユウ | ユ | あそ.ぶ | あそ.ばす,play
N3,置,チ | お.く | ~お.き,placement | put | set | deposit | leave behind | keep | employ | pawn
N3,亡,ボウ | モウ | な.い | な.き~ | ほろ.びる | ほろ.ぶ | ほろ.ぼす,deceased | the late | dying | perish
N3,形,ケイ | ギョウ | かた | ~がた | かたち | なり,shape | form | style
N3,支,シ | ささ.える | つか.える | か.う,branch | support | sustain | branch radical (no. 65)
N3,受,ジュ | う.ける | ~う.け | う.かる,accept | undergo | answer (phone) | take | get | catch | receive
N3,面,メン | ベン | おも | おもて | つら,mask | face | features | surface
N3,件,ケン | くだん,affair | case | matter | item
N3,昨,サク,yesterday | previous
N3,守,シュ | ス | まも.る | まも.り | もり | ~もり | かみ,guard | protect | defend | obey
N3,戻,レイ | もど.す | もど.る,re- | return | revert | resume | restore | go backwards
N3,最,サイ | シュ | もっと.も | つま,utmost | most | extreme
N3,到,トウ | いた.る,arrival | proceed | reach | attain | result in
N3,由,ユ | ユウ | ユイ | よし | よ.る,wherefore | a reason
N3,念,ネン,wish | sense | idea | thought | feeling | desire | attention
N3,港,コウ | みなと,harbor
N3,類,ルイ | たぐ.い,sort | kind | variety | class | genus
N3,園,エン | その,park | garden | yard | farm
N3,係,ケイ | かか.る | かかり | ~がかり | かか.わる,person in charge | connection | duty | concern oneself
N3,退,タイ | しりぞ.く | しりぞ.ける | ひ.く | の.く | の.ける | ど.く,retreat | withdraw | retire | resign | repel | expel | reject
N3,備,ビ | そな.える | そな.わる | つぶさ.に,equip | provision | preparation
N3,笑,ショウ | わら.う | え.む,laugh
N3,師,シ | いくさ,expert | teacher | master | model | exemplar | army (incl. counter) | war
N3,米,ベイ | マイ | メエトル | こめ | よね,rice | USA | metre
N3,靴,カ | くつ,shoes
N3,種,シュ | たね | ~ぐさ,species | kind | class | variety | seed
N3,然,ゼン | ネン | しか | しか.り | しか.し | さ,sort of thing | so | if so | in that case | well
N3,折,セツ | シャク | お.る | おり | お.り | ~お.り | お.れる,fold | break | fracture | bend | yield | submit
N3,利,リ | き.く,profit | advantage | benefit
N3,渡,ト | わた.る | ~わた.る | わた.す,transit | ford | ferry | cross | import | deliver | diameter | migrate
N3,熱,ネツ | あつ.い,heat | temperature | fever | mania | passion
N3,常,ジョウ | つね | とこ~,usual | ordinary | normal | common | regular | continually | always | long-lasting
N3,式,シキ,style | ceremony | rite | function | method | system | form | expression
N3,性,セイ | ショウ | さが,sex | gender | nature
N3,願,ガン | ねが.う | ~ねがい,petition | request | vow | wish | hope
N3,変,ヘン | か.わる | か.わり | か.える,unusual | change | strange
N3,宅,タク,home | house | residence | our house | my husband
N3,調,チョウ | しら.べる | しら.べ | ととの.う | ととの.える,tune | tone | meter | key (music) | writing style | prepare | exorcise | investigate | harmonize | mediate
N3,偶,グウ | たま,accidentally | even number | couple | man & wife | same kind
N3,政,セイ | ショウ | まつりごと | まん,politics | government
N3,訪,ホウ | おとず.れる | たず.ねる | と.う,call on | visit | look up | offer sympathy
N3,歳,サイ | セイ | とし | とせ | よわい,year-end | age | occasion | opportunity
N3,供,キョウ | ク | クウ | グ | そな.える | とも | ~ども,submit | offer | present | serve (meal) | accompany
N3,和,ワ | オ | カ | やわ.らぐ | やわ.らげる | なご.む | なご.やか | あ.える,harmony | Japanese style | peace | soften | Japan
N3,誤,ゴ | あやま.る | ~あやま.る,mistake | err | do wrong | mislead
N3,取,シュ | と.る | と.り | と.り~ | とり | ~ど.り,take | fetch | take up
N3,候,コウ | そうろう,climate | season | weather | wait for | expect
N3,完,カン,perfect | completion | end
N3,破,ハ | やぶ.る | やぶ.れる | わ.れる,rend | rip | tear | break | destroy | defeat | frustrate
N3,窓,ソウ | ス | まど | てんまど | けむだし,window | pane
N2,匹,ヒツ | ひき,equal | head | counter for small animals | roll of cloth
N2,療,リョウ,heal | cure
N2,伺,シ | うかが.う,pay respects | visit | ask | inquire | question | implore
N2,森,シン | もり,forest | woods
N2,快,カイ | こころよ.い,cheerful | pleasant | agreeable | comfortable
N2,将,ショウ | ソウ | まさ.に | はた | まさ | ひきい.る | もって,leader | commander | general | admiral | or | and again | soon | from now on | just about
N2,弱,ジャク | よわ.い | よわ.る | よわ.まる | よわ.める,weak | frail
N2,燥,ソウ | はしゃ.ぐ,parch | dry up
N2,設,セツ | もう.ける,establishment | provision | prepare
N2,講,コウ,lecture | club | association
N2,塗,ト | ぬ.る | ぬ.り | まみ.れる,paint | plaster | daub | smear | coating
N2,募,ボ | つの.る,recruit | campaign | gather (contributions) | enlist | grow violent
N2,陸,リク | ロク | おか,land | six
N2,鼻,ビ | はな,nose | snout
N2,沸,フツ | わ.く | わ.かす,seethe | boil | ferment | uproar | breed
N2,介,カイ,jammed in | shellfish | mediate | concern oneself with
N2,厚,コウ | あつ.い | あか,thick | heavy | rich | kind | cordial | brazen | shameless
N2,像,ゾウ,statue | picture | image | figure | portrait
N2,泉,セン | いずみ,spring | fountain
N2,河,カ | かわ,river
N2,昇,ショウ | のぼ.る,rise up
N2,乳,ニュウ | ちち | ち,milk | breasts
N2,幼,ヨウ | おさな.い,infancy | childhood
N2,群,グン | む.れる | む.れ | むら | むら.がる,flock | group | crowd | herd | swarm | cluster
N2,島,トウ | しま,island
N2,零,レイ | ぜろ | こぼ.す | こぼ.れる,zero | spill | overflow | nothing | cipher
N2,誌,シ,document | records
N2,耕,コウ | たがや.す,till | plow | cultivate
N2,旧,キュウ | ふる.い | もと,old times | old things | old friend | former | ex-
N2,庁,チョウ | テイ | やくしょ,government office
N2,丸,ガン | まる | まる.める | まる.い,round | full (month) | perfection | -ship | pills | make round | roll up | curl up | seduce | explain away
N2,荷,カ | に,baggage | shoulder-pole load | bear (a burden) | shoulder (a gun) | load | cargo | freight
N2,凍,トウ | こお.る | こご.える | こご.る | い.てる | し.みる,frozen | congeal | refrigerate
N2,貨,カ | たから,freight | goods | property
N2,角,カク | かど | つの,angle | corner | square | horn | antlers
N2,城,ジョウ | セイ | しろ,castle
N2,豊,ホウ | ブ | ゆた.か | とよ,bountiful | excellent | rich
N2,患,カン | わずら.う,afflicted | disease | suffer from | be ill
N2,詰,キツ | キチ | つ.める | つ.め | ~づ.め | つ.まる | つ.む,packed | close | pressed | reprove | rebuke | blame
N2,移,イ | うつ.る | うつ.す,"shift | move | change | drift | catch (cold, fire) | pass into"
N2,細,サイ | ほそ.い | ほそ.る | こま.か | こま.かい,dainty | get thin | taper | slender | narrow | detailed | precise
N2,域,イキ,range | region | limits | stage | level
N2,血,ケツ | ち,blood
N2,瓶,ビン | かめ,bottle | vial | jar | jug | vat | urn
N2,灯,トウ | ひ | ほ~ | ともしび | とも.す | あかり,lamp | a light | light | counter for lights
N2,踊,ヨウ | おど.る,jump | dance | leap | skip
N2,伸,シン | の.びる | の.ばす | の.べる | の.す,expand | stretch | extend | lengthen | increase
N2,磨,マ | みが.く | す.る,grind | polish | scour | improve | brush (teeth)
N2,低,テイ | ひく.い | ひく.める | ひく.まる,lower | short | humble
N2,毒,ドク,poison | virus | venom | germ | harm | injury | spite
N2,袋,タイ | ダイ | ふくろ,sack | bag | pouch
N2,層,ソウ,stratum | social class | layer | story | floor
N2,省,セイ | ショウ | かえり.みる | はぶ.く,focus | government ministry | conserve
N2,掘,クツ | ほ.る,dig | delve | excavate
N2,軒,ケン | のき,flats | counter for houses | eaves
N2,爆,バク | は.ぜる,bomb | burst open | pop | split
N2,雇,コ | やと.う,employ | hire
N2,枚,マイ | バイ,sheet of... | counter for flat thin objects or sheets
N2,詞,シ | ことば,part of speech | words | poetry
N2,専,セン | もっぱ.ら,specialty | exclusive | mainly | solely
N2,鉱,コウ | あらがね,mineral | ore
N2,階,カイ | きざはし,storey | stair | counter for storeys of a building
N2,荒,コウ | あら.い | あら~ | あ.れる | あ.らす | ~あ.らし | すさ.む,laid waste | rough | rude | wild
N2,仏,ブツ | フツ | ほとけ,Buddha | the dead | France
N2,担,タン | かつ.ぐ | にな.う,shouldering | carry | raise | bear
N2,焼,ショウ | や.く | や.き | や.き~ | ~や.き | や.ける,bake | burning
N2,祭,サイ | まつ.る | まつ.り | まつり,ritual | offer prayers | celebrate | deify | enshrine | worship
N2,復,フク | また,restore | return to | revert | resume
N2,了,リョウ,complete | finish
N2,鈍,ドン | にぶ.い | にぶ.る | にぶ~ | なま.る | なまく.ら,dull | slow | foolish | blunt
N2,宇,ウ,eaves | roof | house | heaven
N2,柔,ジュウ | ニュウ | やわ.らか | やわ.らかい | やわ | やわ.ら,tender | weakness | gentleness | softness
N2,効,コウ | き.く | ききめ | なら.う,merit | efficacy | efficiency | benefit
N2,個,コ | カ,individual | counter for articles
N2,燃,ネン | も.える | も.やす | も.す,burn | blaze | glow
N2,波,ハ | なみ,waves | billows | Poland
N2,片,ヘン | かた~ | かた,one-sided | leaf | sheet | right-side kata radical (no. 91)
N2,封,フウ | ホウ,seal | closing
N2,境,キョウ | ケイ | さかい,boundary | border | region
N2,令,レイ,orders | ancient laws | command | decree
N2,岸,ガン | きし,beach
N2,床,ショウ | とこ | ゆか,bed | counter for beds | floor | padding | tatami
N2,腕,ワン | うで,arm | ability | talent
N2,干,カン | ほ.す | ほ.し~ | ~ぼ.し | ひ.る,dry | parch | ebb | recede | interfere | intercede
N2,承,ショウ | ジョウ | うけたまわ.る | う.ける,acquiesce | hear | listen to | be informed | receive
N2,久,キュウ | ク | ひさ.しい,long time | old story
N2,改,カイ | あらた.める | あらた.まる,reformation | change | modify | mend | renew | examine | inspect | search
N2,浴,ヨク | あ.びる | あ.びせる,bathe | be favored with | bask in
N2,曇,ドン | くも.る,cloudy weather | cloud up
N2,販,ハン,marketing | sell | trade
N2,被,ヒ | こうむ.る | おお.う | かぶ.る | かぶ.せる,incur | cover | veil | brood over | shelter | wear | put on | be exposed (film) | receiving
N2,涼,リョウ | すず.しい | すず.む | すず.やか | うす.い | ひや.す | まことに,refreshing | nice and cool
N2,準,ジュン | じゅん.じる | じゅん.ずる | なぞら.える | のり | ひと.しい | みずもり,semi- | correspond to | proportionate to | conform | imitate
N2,軍,グン | いくさ,army | force | troops | war | battle
N2,翌,ヨク,the following | next
N2,軟,ナン | やわ.らか | やわ.らかい,soft
N2,団,ダン | トン | かたまり | まる.い,group | association
N2,清,セイ | ショウ | シン | きよ.い | きよ.まる | きよ.める,pure | purify | cleanse | exorcise | Manchu dynasty
N2,祈,キ | いの.る,pray | wish
N2,贈,ゾウ | ソウ | おく.る,presents | send | give to | award to | confer on | presenting something
N2,枯,コ | か.れる | か.らす,wither | die | dry up | be seasoned
N2,逆,ギャク | ゲキ | さか | さか.さ | さか.らう,inverted | reverse | opposite | wicked
N2,革,カク | かわ,leather | skin | reform | become serious
N2,谷,コク | たに | きわ.まる,valley
N2,菜,サイ | な,vegetable | side dish | greens
N2,簡,カン | ケン | えら.ぶ | ふだ,simplicity | brevity
N2,圧,アツ | エン | オウ | お.す | へ.す | おさ.える | お.さえる,pressure | push | overwhelm | oppress | dominate
N2,漁,ギョ | リョウ | あさ.る,fishing | fishery
N2,欧,オウ | うた.う | は.く,Europe
N2,咲,ショウ | さ.く | ~ざき,blossom | bloom
N2,築,チク | きず.く,fabricate | build | construct
N2,述,ジュツ | の.べる,mention | state | speak | relate
N2,童,ドウ | わらべ,juvenile | child
N2,竹,チク | たけ,bamboo
N2,菓,カ,candy | cakes | fruit
N2,照,ショウ | て.る | て.らす | て.れる,illuminate | shine | compare | bashful
N2,栄,エイ | ヨウ | さか.える | は.え | ~ば.え | は.える | え,flourish | prosperity | honor | glory | splendor
N2,挟,キョウ | ショウ | はさ.む | はさ.まる | わきばさ.む | さしはさ.む,pinch | between
N2,沈,チン | ジン | しず.む | しず.める,sink | be submerged | subside | be depressed | aloes
N2,券,ケン,ticket
N2,著,チョ | チャク | あらわ.す | いちじる.しい,renowned | publish | write | remarkable | phenomenal | put on | don | wear | arrival | finish (race) | counter for suits of clothing | literary work
N2,肩,ケン | かた,shoulder
N2,湿,シツ | シュウ | しめ.る | しめ.す | うるお.う | うるお.す,damp | wet | moist
N2,湯,トウ | ゆ,hot water | bath | hot spring
N2,則,ソク | のっと.る,rule | follow | based on | model after
N2,姓,セイ | ショウ,surname
N2,符,フ,token | sign | mark | tally | charm
N2,課,カ,chapter | lesson | section | department | division | counter for chapters (of a book)
N2,含,ガン | ふく.む | ふく.める,contain | include | hold in the mouth | bear in mind | understand | cherish
N2,編,ヘン | あ.む | ~あ.み,compilation | knit | plait | braid | twist | editing | completed poem | part of a book
N2,型,ケイ | かた | ~がた,mould | type | model
N2,届,カイ | とど.ける | ~とど.け | とど.く,deliver | reach | arrive | report | notify | forward
